"Date","Price","Open","High","Low","Change %"
"05/18/2019","-0.474","-0.474","-0.474","-0.474","-6.36%"
"05/17/2019","-0.506","-0.539","-0.462","-0.569","1.02%"
"05/16/2019","-0.501","-0.557","-0.477","-0.564","-3.38%"
"05/15/2019","-0.518","-0.532","-0.488","-0.572","-1.65%"
"05/14/2019","-0.527","-0.493","-0.482","-0.557","3.70%"
"05/13/2019","-0.508","-0.508","-0.472","-0.552","6.29%"
"05/12/2019","-0.478","-0.478","-0.478","-0.478","0.00%"
"05/11/2019","-0.478","-0.478","-0.478","-0.478","-5.14%"
"05/10/2019","-0.504","-0.541","-0.478","-0.561","-6.27%"
"05/09/2019","-0.538","-0.515","-0.472","-0.564","10.52%"
"05/08/2019","-0.487","-0.480","-0.467","-0.552","-1.91%"
"05/07/2019","-0.496","-0.471","-0.454","-0.542","-2.03%"
"05/06/2019","-0.507","-0.511","-0.464","-0.537","10.47%"
"05/05/2019","-0.458","-0.458","-0.458","-0.458","0.00%"
"05/04/2019","-0.458","-0.458","-0.458","-0.458","-3.05%"
"05/03/2019","-0.473","-0.508","-0.458","-0.535","-5.98%"
"05/02/2019","-0.503","-0.459","-0.438","-0.527","-7.32%"
"05/01/2019","-0.543","-0.480","-0.466","-0.543","8.67%"
"04/30/2019","-0.499","-0.492","-0.447","-0.519","8.97%"
"04/29/2019","-0.458","-0.465","-0.443","-0.530","-1.02%"
"04/28/2019","-0.463","-0.463","-0.463","-0.463","0.00%"
"04/27/2019","-0.463","-0.463","-0.463","-0.463","-7.07%"
"04/26/2019","-0.498","-0.510","-0.458","-0.533","7.44%"
"04/25/2019","-0.464","-0.477","-0.447","-0.528","-2.73%"
"04/24/2019","-0.477","-0.460","-0.446","-0.541","3.18%"
"04/23/2019","-0.462","-0.484","-0.451","-0.516","-3.06%"
"04/22/2019","-0.477","-0.457","-0.457","-0.477","0.00%"
"04/19/2019","-0.477","-0.457","-0.457","-0.477","4.22%"
"04/18/2019","-0.457","-0.472","-0.436","-0.512","-1.15%"
"04/17/2019","-0.463","-0.502","-0.444","-0.513","-4.97%"
"04/16/2019","-0.487","-0.466","-0.452","-0.518","-4.15%"
"04/15/2019","-0.508","-0.499","-0.453","-0.515","13.22%"
"04/14/2019","-0.449","-0.449","-0.449","-0.449","0.00%"
